"KD_PEND","NM_PEND",
"2E00","SEKOLAH PERTANIAN MENENGAH PERTAMA (SPMP)",
"X005","LPK",
"X006","SEMINAR",
"X009","ASSESMENT TEST",
"EA00","ILMU TANAH",
"EB00","HAMA & PENYAKIT TUMBUHAN",
"EC00","SOSEK PERTANIAN",
"ED00","TEKNOLOGI PERTANIAN",
"EE00","PRITEKSI TANAMAN",
"0000","TIDAK TAMAT SEKOLAH DASAR",
"1000","PENDIDIKAN DASAR",
"1A00","SD/SR",
"1M00","MADRASAH IBTIDAIYAH (MI)",
"1Z00","PERSAMAAN SD (PAKET A)",
"2000","SEKOLAH LANJUTAN TINGKAT PERTAMA (SLTP)",
"2A00","SMP",
"2AA0","SMP BAGIAN A",
"2AB0","SMP BAGIAN B",
"2AC0","SMP BAGIAN C",
"2B00","SEKOLAH TEKNIK (ST)",
"2BA0","ST BANGUNAN",
"2BA1","ST BANGUNAN AIR",
"2BA2","ST BANGUNAN AIR DAN JALAN",
"2BA3","ST BANGUNAN GEDUNG",
"2BB0","ST ELEKTRO",
"2BB1","ST ELEKTRONIKA",
"2BB2","ST TELEKOMUNIKASI",
"2BC0","ST LISTRIK",
"2BD0","ST MESIN",
"2BD1","ST MESIN KAPAL",
"2BD2","ST MESIN KONSTRUKSI",
"2BD3","ST MESIN PRODUKSI",
"2BD4","ST MESIN TENAGA",
"2BE0","ST OTOMOTIF",
"2BE1","ST MOTOR BENSIN",
"2BE2","ST MOTOR DIESEL",
"2D00","SMEP",
"2DA0","SMEP AKUNTANSI",
"2DB0","SMEP KEUANGAN",
"2DC0","SMEP TATA BUKU",
"2DD0","SMEP TATA NIAGA",
"2DE0","SMEP TATA USAHA",
"2DF0","SMEP KESEKRETARIATAN",
"2DG0","SMEP KOPERASI",
"2DH0","SMEP PARIWISATA",
"2G00","SKP",
"2M00","MADRASAH TSANAWIYAH (MTs)",
"2W00","SEKOLAH MILITER/ KEPOLISIAN TINGKAT SLTP",
"2Z00","PERSAMAAN SMP (PAKET B)",
"3000","SEKOLAH LANJUTAN TINGKAT ATAS (SLTA)",
"3A00","SMA",
"3AA0","SMA BAGIAN A",
"3AB0","SMA BAGIAN B",
"3AC0","SMA BAGIAN C",
"3AD0","SMA PASPAL",
"3AE0","SMA SOSBUD",
"3AF0","SMA SASTRA",
"3AG0","SMA ILMU PENGETAHUAN ALAM (IPA)",
"3AH0","SMA ILMU PENGETAHUAN SOSIAL (IPS)",
"3AI0","SMA ILMU PENGETAHUAN BUDAYA (IPB)",
"3AJ0","SMA A-1",
"3AK0","SMA A-2",
"3AL0","SMA A-3",
"3AM0","SMA A-4",
"3AO0","SMA ILMU-ILMU FISIKA (IIF)",
"3AP0","SMA ILMU-ILMU BIOLOGI (IIB)",
"3AQ0","SMA ILMU-ILMU SOSIAL (IIS)",
"3B00","STM",
"3BA0","STM BANGUNAN",
"3BA1","STM BANGUNAN AIR",
"3BA2","STM BANGUNAN AIR DAN JALAN",
"3BA3","STM BANGUNAN GEDUNG",
"3BB0","STM ELEKTRO",
"3BB1","STM ELEKTRONIKA",
"3BB2","STM TELEKOMUNIKASI",
"3BC0","STM LISTRIK",
"3BD0","STM MESIN",
"3BD1","STM MESIN KAPAL",
"3BD2","STM MESIN KONSTRUKSI",
"3BD3","STM MESIN PRODUKSI",
"3BD4","STM MESIN TENAGA",
"3BE0","STM OTOMOTIF",
"3BE1","STM MOTOR BENSIN",
"3BE2","STM MOTOR DIESEL",
"3BF0","STM PENERBANGAN",
"3BF1","STM MOTOR DAN RANGKA PESAWAT",
"3BF2","STM PEMELIHARAAN PESAWAT TERBANG",
"3BG0","STM GEOLOGI DAN PERTAMBANGAN",
"3BG1","STM GEOLOGI",
"3BG2","STM PERTAMBANGAN",
"3BG3","STM PENGERJAAN LOGAM",
"3C00","SPK",
"3CA0","SPK PERAWAT UMUM",
"3CB0","SPK PERAWAT GIGI",
"3D00","SMEA",
"3DA0","SMEA AKUNTANSI",
"3DB0","SMEA KEUANGAN",
"3DC0","SMEA TATA BUKU",
"3DD0","SMEA TATA NIAGA",
"3DE0","SMEA TATA USAHA",
"3DF0","SMEA KESEKRETARIATAN",
"3DG0","SMEA KOPERASI",
"3DH0","SMEA PARIWISATA",
"3E00","SPMA",
"EF00","TEKNIK PERKEBUNAN",
"EG00","MEKANISASI PERTANIAN",
"EH00","KEHUTANAN",
"WB00","AKPER",
"3N00","KPAA",
"3F00","SPMA ANALIS KIMIA",
"3G00","SKKA",
"3H00","SMKK",
"3I00","SPG",
"3J00","SGO",
"3K00","PGA",
"3M00","MADRASAH ALIYAH (MA)",
"3W00","SEKOLAH MILITER/ KEPOLISIAN TINGKAT SLTA",
"3X00","KURSUS TEKNIK BREVET C",
"3Z00","KKPA/PERSAMAAN SMA (PAKET C)",
"4000","DIPLOMA-I",
"5000","DIPLOMA-II",
"6000","SM/D-III",
"7000","S-1/D-IV",
"8000","S-2/SP-1",
"9000","S-3/SP-2",
"A000","MATEMATIKA DAN ILMU PENGETAHUAN ALAM (MIPA)",
"AA00","MATEMATIKA",
"AA10","STATISTIKA",
"AB00","FISIKA",
"AC00","KIMIA",
"AD00","BIOLOGI",
"AE00","FARMASI",
"AF00","GEOLOGI",
"AG00","GEOFISIKA DAN METEOROLOGI",
"AH00","ASTRONOMI",
"B000","TEKNIK",
"BA00","TEKNOLOGI INDUSTRI",
"BA10","TEKNIK FISIKA",
"BA20","TEKNIK KIMIA",
"BA30","BIOTEKNOLOGI",
"BA40","TEKNIK MESIN",
"BA41","TEKNIK MESIN KONSTRUKSI",
"BA42","TEKNIK MESIN KAPAL",
"BA50","TEKNIK ELEKTRO",
"BA51","TEKNIK ELEKTRONIKA",
"BA52","TEKNIK LISTRIK",
"BA60","TEKNIK INDUSTRI",
"BA70","TEKNIK KOMPUTER/INFORMATIKA",
"BB00","TEKNOLOGI SIPIL DAN PERENCANAAN",
"BB10","TEKNIK SIPIL",
"BB11","TEKNIK SIPIL BASAH",
"BB12","TEKNIK SIPIL KERING",
"BB13","TEKNIK SIPIL KONSTRUKSI",
"BB14","TEKNIK SIPIL PERHUBUNGAN",
"BB15","TEKNIK SIPIL STRUKTUR",
"BB16","TEKNIK SIPIL TRANSPORTASI",
"BB17","SISTEM DAN TEKNIK JALAN RAYA",
"BB20","TEKNIK ARSITEKTUR",
"BB21","TEKNIK ARSITEKTUR LANSEKAP",
"BB30","TEKNIK GEODESI",
"BB40","TEKNIK LINGKUNGAN",
"BB50","TEKNIK PLANOLOGI",
"BC00","TEKNOLOGI MINERAL",
"BC10","TEKNIK GEOLOGI",
"BC20","TEKNIK PERTAMBANGAN",
"BC30","TEKNIK PERMINYAKAN",
"C000","KEDOKTERAN",
"CA00","KEDOKTERAN UMUM",
"CB00","KEDOKTERAN GIGI",
"D000","SOSIAL",
"DA00","EKONOMI",
"DA10","EKONOMI AKUNTANSI",
"DA20","EKONOMI MANAJEMEN",
"DA30","EKONOMI PERUSAHAAN",
"DA40","EKONOMI PEMBANGUNAN",
"DB00","KEUANGAN DAN PERBANKAN",
"DB10","KEUANGAN",
"DB20","PERBANKAN",
"DC00","AKUNTANSI",
"DD00","TATA NIAGA",
"DE00","MANAJEMEN",
"DE10","MANAJEMEN AKUNTANSI",
"DE20","MANAJEMEN INFORMATIKA",
"DE30","MANAJEMEN JALUR PROFESI",
"DE40","MANAJEMEN KEUANGAN",
"DE50","MANAJEMEN PERBANKAN",
"DE60","MANAJEMEN PERSONALIA",
"DE70","MANAJEMEN PERUSAHAAN",
"DE80","MANAJEMEN PRODUKSI",
"DF00","KESEKRETARIATAN",
"DF10","SEKRETARIS DAN MANAJEMEN",
"DG00","ADMINISTRASI",
"DG10","ADMINISTRASI NEGARA",
"DG20","ADMINISTRASI NIAGA",
"DG30","ADMINISTRASI BISNIS",
"DH00","HUKUM",
"DH10","HUKUM AGRARIA",
"DH20","HUKUM INTERNASIONAL",
"DH30","HUKUM PERDATA",
"DH40","HUKUM PIDANA",
"DI00","SOSIAL POLITIK",
"DJ00","GEOGRAFI DAN KEPENDUDUKAN",
"DJ10","GEOGRAFI",
"DK00","KEPEMIMPINAN",
"DK10","KEPEMIMPINAN NIAGA",
"DK20","KEPEMIMPINAN PERUSAHAAN",
"DL00","PUBLISISTIK",
"DM00","SEJARAH",
"DN00","PARIWISATA",
"E000","AGRONOMI/BUDIDAYA PERTANIAN",
"F000","KESEJAHTERAAN SOSIAL",
"I000","KEGURUAN DAN ILMU PENDIDIKAN",
"IG00","ILMU ADMINISTRASI",
"IG10","ILMU ADMINISTRASI NIAGA",
"IH00","ILMU HUKUM",
"II00","ILMU KESEHATAN MASYARAKAT",
"IJ00","ILMU SEJARAH",
"IK00","PENDIDIKAN OLAH RAGA",
"IL10","ILMU HUBUNGAN MASYARAKAT",
"S000","SASTRA DAN BUDAYA",
"SA20","SASTRA INGGRIS",
"WA00","AKADEMI MILITER",
"WD00","AKADEMI KEPOLISIAN",
"X000","KURSUS",
"X003","KMP",
"X004","KMPL",
"X001","KMPD",
"X002","KMPM",
