"kodeunit","tanggal","unsur","kodeafd","kodebud","norek","netral","kodebarang","qtyBrg_RKAP","qtyBrg_PMK","klsKary","jmlHK_RKAP","jmlHsl_RKAP","jmlKary_RKAP","nilai_RKAP","jmlHK_PMK","jmlHsl_PMK","jmlKary_PMK","nilai_PMK","kodeblok","thntnm","HaJelajah_RKAP","HaJelajah_PMK","KMK",
"10","13-07-2017 00:00:00","GU","02","02","400010000","","","0","0","A","0","0","0","18088000","0","0","0","15303000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","401010000","","","0","0","B","0","0","0","35696000","0","0","0","52032000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","403240000","","","0","0","","0","0","0","6029000","0","0","0","5000000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","403250000","","","0","0","","0","0","0","7058000","0","0","0","6968000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","403260000","","","0","0","","0","0","0","8261000","0","0","0","5447000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","403270000","","","0","0","","0","0","0","2758000","0","0","0","1758000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","404160000","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","404170000","","","0","0","","0","0","0","11898000","0","0","0","18062000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","410010100","","","0","0","B","0","0","0","1485000","0","0","0","1136000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","410020100","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","411010100","","","0","0","C","0","0","0","2356000","0","0","0","1171000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","413010100","","","0","0","","0","0","0","340000","0","0","0","1171000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","413020100","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","413030100","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","414010100","","","0","0","","0","0","0","1185000","0","0","0","1517000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","414020100","","","0","0","","0","0","0","0","0","0","0","10000000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","423010000","","","0","0","B","0","0","0","18519000","0","0","0","26756000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","424010000","","","0","0","","0","0","0","2147000","0","0","0","2387000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","425010000","","","0","0","","0","0","0","1080000","0","0","0","1201000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","600000100","0200","","0","0","A","0","0","0","31365000","0","0","0","23756000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","600000111","0200","","0","0","A","0","0","0","0","0","0","0","6118000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","600000112","0200","","0","0","A","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","600000113","0200","","0","0","A","0","0","0","4609000","0","0","0","4706000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","600000114","0200","","0","0","A","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","600000200","0200","","0","0","A","0","0","0","4805000","0","0","0","3092000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","600000211","0200","","0","0","A","0","0","0","0","0","0","0","1247000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","600000213","0200","","0","0","A","0","0","0","847000","0","0","0","847000","","","0","0","01",
"10","13-07-2017 00:00:00","GU","02","02","600000214","0200","","0","0","A","0","0","0","42000","0","0","0","339000","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","410010200","","","0","0","","0","0","0","500000","0","0","0","500000","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","410020200","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","411010200","","","0","0","","0","0","0","500000","0","0","0","500000","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","411020200","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","411080200","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","412010200","","","0","0","","0","0","0","208000","0","0","0","200000","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","412020100","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","413010200","","","0","0","","0","0","0","167000","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","413020200","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","413030200","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","414010200","","","0","0","","0","0","0","166000","0","0","0","500000","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","423020000","","","0","0","","0","0","0","26000","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","424040000","","","0","0","","0","0","0","48000","0","0","0","250000","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","424090000","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","BB","02","02","425050000","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","403010100","","","0","0","","0","0","0","2011000","0","0","0","2011000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","403020000","","","0","0","","0","0","0","927000","0","0","0","625000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","403040000","","","0","0","","0","0","0","165000","0","0","0","165000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","403060000","","","0","0","","0","0","0","377000","0","0","0","1595000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","403100000","","","0","0","","0","0","0","1534000","0","0","0","2340000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","403120000","","","0","0","","0","0","0","8650000","0","0","0","3700000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","403230000","","","0","0","","0","0","0","3668000","0","0","0","1668000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","404010100","","","0","0","","0","0","0","36230000","0","0","0","26230000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","404030000","","","0","0","","0","0","0","1187000","0","0","0","1737000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","404050000","","","0","0","","0","0","0","3194000","0","0","0","3194000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","404060000","","","0","0","","0","0","0","461000","0","0","0","461000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","404080000","","","0","0","","0","0","0","3197000","0","0","0","4631000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","404100000","","","0","0","","0","0","0","2409000","0","0","0","2683000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","404140000","","","0","0","","0","0","0","89000","0","0","0","89000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","405010100","","","0","0","","0","0","0","10214000","0","0","0","10213000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","405010102","","","0","0","","0","0","0","57929000","0","0","0","40930000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","405020000","","","0","0","","0","0","0","721000","0","0","0","515000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","405040000","","","0","0","","0","0","0","880000","0","0","0","880000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","405050000","","","0","0","","0","0","0","1927000","0","0","0","1540000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","405060000","","","0","0","","0","0","0","1543000","0","0","0","1785000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","405070000","","","0","0","","0","0","0","254000","0","0","0","254000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","406010000","","","0","0","","0","0","0","25231000","0","0","0","36276000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","406020000","","","0","0","","0","0","0","36731000","0","0","0","32250000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","406030000","","","0","0","","0","0","0","8580000","0","0","0","11758000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","406040000","","","0","0","","0","0","0","7500000","0","0","0","5250000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","407010000","","","0","0","","0","0","0","0","0","0","0","7530000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","407050000","","","0","0","","0","0","0","16767000","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","412020100","","","0","0","","0","0","0","4260000","0","0","0","4300000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","420000000","","","0","0","","0","0","0","1750000","0","0","0","1750000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","420020000","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","421010000","","","0","0","","0","0","0","90269000","0","0","0","120269000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","421050000","","","0","0","","0","0","0","500000","0","0","0","500000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","422020000","","","0","0","","0","0","0","305000","0","0","0","1131000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","422030000","","","0","0","","0","0","0","3014000","0","0","0","3013000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","422040000","","","0","0","","0","0","0","111000","0","0","0","385000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","422060000","","","0","0","","0","0","0","2289000","0","0","0","262000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","423030000","","","0","0","","0","0","0","5261000","0","0","0","7499000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","423040000","","","0","0","","0","0","0","81000","0","0","0","83000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","423050000","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","424050000","","","0","0","","0","0","0","229000","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","424050200","","","0","0","","0","0","0","682000","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","424080300","","","0","0","","0","0","0","16184000","0","0","0","16900000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","424090000","","","0","0","","0","0","0","9000","0","0","0","9000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","426010000","","","0","0","","0","0","0","3743000","0","0","0","3500000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","426020000","","","0","0","","0","0","0","889000","0","0","0","750000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","426040000","","","0","0","","0","0","0","0","0","0","0","1000000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","426050000","","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","426060000","","","0","0","","0","0","0","116000","0","0","0","150000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","426070000","","","0","0","","0","0","0","113000","0","0","0","150000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","426080000","","","0","0","","0","0","0","6527000","0","0","0","2000000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","426090000","","","0","0","","0","0","0","1407000","0","0","0","500000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","426100000","","","0","0","","0","0","0","6249000","0","0","0","1000000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","426110000","","","0","0","","0","0","0","64000","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","426120000","","","0","0","","0","0","0","824000","0","0","0","1000000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","490000100","0200","","0","0","","0","0","0","50024000","0","0","0","50024000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","490000200","0200","","0","0","","0","0","0","70039000","0","0","0","70039000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","600000101","0200","","0","0","","0","0","0","1039000","0","0","0","1039000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","600000104","0200","","0","0","","0","0","0","1468000","0","0","0","1866000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","600000105","0200","","0","0","","0","0","0","404000","0","0","0","774000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","600000107","0200","","0","0","","0","0","0","1681000","0","0","0","1623000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","600000115","0200","","0","0","","0","0","0","2432000","0","0","0","3116000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","600000201","0200","","0","0","","0","0","0","206000","0","0","0","208000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","600000203","0200","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","600000204","0200","","0","0","","0","0","0","297000","0","0","0","299000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","600000205","0200","","0","0","","0","0","0","82000","0","0","0","78000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","600000207","0200","","0","0","","0","0","0","306000","0","0","0","309000","","","0","0","01",
"10","13-07-2017 00:00:00","LL","02","02","600000215","0200","","0","0","","0","0","0","482000","0","0","0","649000","","","0","0","01",
"10","14-07-2017 00:00:00","BB","30","02","604010300","0200","","0","0","","0","0","0","17448000","0","0","0","21602000","","","0","0","01",
"10","14-07-2017 00:00:00","BB","30","02","604020401","0200","","0","0","","0","0","0","69792000","0","0","0","73961000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","30","02","604190101","0200","","0","0","","0","0","0","621000","0","0","0","267000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","30","02","604190104","0200","","0","0","","0","0","0","1454000","0","0","0","464000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","30","02","604190105","0200","","0","0","","0","0","0","115000","0","0","0","50000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","30","02","604190114","0200","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","14-07-2017 00:00:00","LL","30","02","604190115","0200","","0","0","","0","0","0","1243000","0","0","0","535000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","30","02","604190201","0200","","0","0","","0","0","0","888000","0","0","0","621000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","30","02","604190204","0200","","0","0","","0","0","0","1918000","0","0","0","1988000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","30","02","604190205","0200","","0","0","","0","0","0","165000","0","0","0","2870000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","30","02","604190214","0200","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","14-07-2017 00:00:00","LL","30","02","604190215","0200","","0","0","","0","0","0","1778000","0","0","0","0","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","605190205","0200","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","605190215","0200","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","609040212","0200","","0","0","","0","0","0","-72307000","0","0","0","-63741000","","","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601071900","0200","","0","0","","0","0","0","0","0","0","0","16318334","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190101","0200","","0","0","","0","0","0","706682","0","0","0","706682","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190102","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190104","0200","","0","0","","0","0","0","1162570","0","0","0","1162570","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190105","0200","","0","0","","0","0","0","129020","0","0","0","129020","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190113","0200","","0","0","","0","0","0","114808","0","0","0","114808","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190114","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190115","0200","","0","0","","0","0","0","1413085","0","0","0","1413085","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190201","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190204","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190205","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190211","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190215","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","602140200","0200","","0","0","","0","0","0","26823539","0","0","0","27002439","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","602190101","0200","","0","0","","0","0","0","630886","0","0","0","630886","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","602190102","0200","","0","0","","0","0","0","171097","0","0","0","171097","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","602190104","0200","","0","0","","0","0","0","1036337","0","0","0","1036337","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","602190105","0200","","0","0","","0","0","0","115365","0","0","0","115365","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","602190111","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601030100","0200","","0","0","","0","0","0","20901","0","0","0","20688","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601030400","0200","","0","0","","0","0","0","0","0","0","0","1296319","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601040500","0200","","0","0","","0","0","0","0","0","0","0","0","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601050200","0200","","0","0","","0","0","0","1286295","0","0","0","1929549","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601060101","0200","","0","0","","0","0","0","791911","0","0","0","791911","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601060102","0200","","0","0","","0","0","0","434026","0","0","0","434026","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601060103","0200","","0","0","","0","0","0","278758","0","0","0","0","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601060104","0200","","0","0","","0","0","0","609342","0","0","0","0","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601060201","0200","","0","0","","0","0","0","0","0","0","0","1182214","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601070100","0200","","0","0","","0","0","0","0","0","0","0","98180490","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601070200","0200","","0","0","","0","0","0","352339","0","0","0","1792623","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601070400","0200","","0","0","","0","0","0","1593419","0","0","0","3906233","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601070500","0200","","0","0","","0","0","0","11165022","0","0","0","7258789","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601080100","0200","","0","0","","0","0","0","0","0","0","0","0","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","602130000","0200","","0","0","","0","0","0","39077684","0","0","0","27717937","0200","1999","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603110100","0200","","0","0","","0","0","0","316000","0","0","0","368000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603110200","0200","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603110201","0200","","0","0","","0","0","0","177923000","0","0","0","207237000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603110400","0200","","0","0","","0","0","0","4909000","0","0","0","5450000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190101","0200","","0","0","","0","0","0","642000","0","0","0","642000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190104","0200","","0","0","","0","0","0","1097000","0","0","0","1097000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190105","0200","","0","0","","0","0","0","120000","0","0","0","120000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190115","0200","","0","0","","0","0","0","1283000","0","0","0","1283000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190201","0200","","0","0","","0","0","0","5410000","0","0","0","7314000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190204","0200","","0","0","","0","0","0","12156000","0","0","0","16435000","","","0","0","01",
